Variable2,temperature,Time,Pressure,Output
77.8,260,5,20,26.13
77.8,260,5,20,30.21
77.8,260,5,20,25.99
77.8,260,5,20,40.21
76.8,260,5,20,26.1
75,260,5,20,38.9
77.8,260,5,20,33.41
80,260,5,20,19.23
80,260,5,20,30.65
77.78,260,5,20,33.74
77.78,260,5,20,39.96
81.8,260,5,20,30.49
81.8,260,5,20,31.95
77.8,260,5,20,39.95
77.8,260,5,20,37.15
77.8,260,5,20,40.43
77.8,260,5,20,40.39
77.8,260,5,20,39.96
70.4,260,5,20,24.24
77.8,260,5,20,40.43
69.5,260,5,20,19.96
77.8,260,5,20,39.96
80,260,5,20,30
80,260,5,20,19.27
77.8,260,5,20,40.43
80.2,260,5,20,26.57
80,260,5,20,23.27
77.8,260,5,20,24.77
75,260,5,20,27.41
78.1,260,5,20,23.21
75.3,260,5,20,19.69
77.8,260,5,20,18.85
74.1,260,5,20,19.63
77.8,260,5,20,25.86
76.5,260,5,20,26.71
77.8,260,5,20,22.77
76.5,260,5,20,21.74
75,260,5,20,25.02
75,260,5,20,29.25
76.5,260,5,20,34.54
80,260,5,20,34.01
80,260,5,20,39.14
80,260,5,20,40.45
76.5,260,5,20,36.4
80,260,5,20,40.38
80,260,5,20,39.33
80,260,5,20,40.43
80,260,5,20,49.36
80,260,5,20,52.93
75,260,5,20,31.74
71.43,260,5,20,30.79
80,260,5,20,40.38
77.8,260,5,20,57.9
77.8,260,5,20,63.04
77.8,260,5,20,66.62
77.8,260,5,20,62.87
77.8,260,5,20,58.08
77.8,260,5,20,46.69
77.8,260,5,20,57.8
77.8,260,5,20,46.84
77.8,260,5,20,43.26
77.8,260,5,20,38.22
77.8,260,5,20,58.94
77.8,260,5,20,50.02
77.8,260,5,20,66.38
77.8,260,5,20,56.67
77.8,260,5,20,47.82
80,260,5,20,40.38
77.78,260,5,20,53.66
75,260,5,20,50.33
71.43,260,5,20,44.09
71.43,260,5,20,38.15
75,260,5,20,36.65
69.23,260,5,20,49.74
73.33,260,5,20,47.53
73.33,260,1,20,37.9
73.33,240,5,20,30.84
73.33,240,1,20,21.24
73.33,240,5,10,26.4
73.33,240,1,10,16.27
73.33,260,1,20,33.41
73.33,240,5,20,32.04
73.33,240,1,20,23.99
73.33,240,5,10,24.22
73.33,240,1,10,13.94
73.33,250,5,15,36.98
73.33,280,2,20,42.19
73.33,250,5,15,34.14
73.33,250,5,15,31.72
73.33,220,8,20,29.77
73.33,220,2,20,20.42
73.33,280,2,10,31.39
73.33,280,8,20,42.54
73.33,220,2,10,11.19
73.33,220,8,10,21.21
73.33,280,8,10,31.72
83.33,250,5,20,72.43
83.33,250,5,20,69.32
76.47,250,5,20,13.38
76.47,250,5,20,13.59
76.47,250,5,20,65.97
76.47,250,5,20,47.05
76.47,250,5,20,48.77
76.47,250,5,20,46.04
77.8,250,5,20,48.52
76.47,250,5,20,40.9
76.47,250,5,20,45.31
76.47,250,5,20,36.07
77.8,250,5,20,28.22
77.8,250,5,20,39.59
78.95,250,5,20,39.5
78.95,250,5,20,58.63
80,250,5,20,55.14
80,250,5,20,55.92
80,250,5,20,71.32
80,250,5,20,50.03
80,270,5,20,48.2
80,250,5,20,58.13
80,250,5,20,43.38
80,250,5,20,63.21
80,270,5,20,53.13
78.95,250,5,20,48.73
78.95,250,5,20,37.18
78.95,250,5,20,54.01
78.95,250,5,20,49.78
